어장명,정점,위도,경도,어장종류,년도,월,일,기상,수심(m),수온(표),수온(저),수온(차이),염분(저),Ph(저),DO(저),COD(저),NH4-N(저),NO3-N(저),NO2-N(저),DIN(저),TN(저),DIP(저),TP(저),SIO2-SI(저),CHL-A(저),SS(저),투명도,,
구룡포,3,35.9222222222222,129.541666666667,우렁쉥이,2022,12,17,구름,45,15.8,15.47,0.33,34.15,8.11,7.42,0.46,0.018,0.096,0.006,0.12,0.242,0.018,0.024,0.358,0.68,4.8,7,,
구룡포,4,35.9222222222222,129.6,우렁쉥이,2022,12,17,구름,80,15.62,15.48,0.139999999999999,34.27,8.02,5.77,0.54,0.012,0.185,0.002,0.199,0.291,0.03,0.034,0.582,0.22,1,11,,
감포,1,35.7916666666667,129.508333333333,마을,2022,12,17,구름,41,15.64,15.48,0.16,34.27,8.08,6.81,0.34,0.017,0.151,0.004,0.172,0.267,0.024,0.029,0.476,0.72,2,9,,
감포,2,35.7916666666667,129.55,마을,2022,12,17,구름,57,15.43,14.82,0.609999999999999,34.36,8.01,5.88,0.4,0.016,0.2,0.001,0.217,0.314,0.031,0.036,0.608,0.23,2.4,7,,
후포,1,36.65,129.455555555556,우렁쉥이,2022,12,16,구름,49,15.16,14.91,0.25,34.1,8.12,7.16,0.61,0.012,0.104,0.007,0.123,0.226,0.016,0.024,0.346,0.64,0.2,15,,
후포,2,36.65,129.513888888889,우렁쉥이,2022,12,16,구름,98,16.53,4.75,11.78,34.1,7.81,5.73,0.65,0.012,0.305,0.001,0.318,0.418,0.048,0.055,0.783,0.08,0.4,16,,
영덕,1,36.5916666666667,129.455555555556,우렁쉥이,2022,12,16,구름,75,16.05,10.31,5.74,34.06,7.95,6.05,0.57,0.017,0.242,0.005,0.264,0.376,0.04,0.049,0.696,0.17,1.4,14,,
영덕,2,36.5916666666667,129.513888888889,우렁쉥이,2022,12,16,구름,109,16.44,3.45,12.99,34.08,7.83,7.07,0.87,0.009,0.297,0,0.306,0.41,0.049,0.057,0.789,0.06,0.2,17,,
영덕,3,36.5333333333333,129.455555555556,우렁쉥이,2022,12,16,구름,58,15.77,10.97,4.8,34.19,7.95,5.84,0.77,0.041,0.253,0.006,0.3,0.399,0.043,0.051,0.697,0.14,0.4,14,,
영덕,4,36.5333333333333,129.513888888889,우렁쉥이,2022,12,16,구름,111,16.11,2.52,13.59,34.05,7.79,6.64,0.85,0.016,0.313,0.001,0.33,0.444,0.053,0.061,0.899,0.06,3.2,13,,
강구,1,36.35,129.397222222222,마을,2022,12,16,구름,43,15.82,15.46,0.359999999999999,34.12,8.17,7.62,0.54,0.014,0.077,0.006,0.097,0.209,0.012,0.02,0.273,0.88,0.8,15,,
강구,2,36.35,129.455555555556,마을,2022,12,16,구름,85,16.27,4.98,11.29,34.12,7.81,6.46,0.56,0.015,0.304,0.002,0.321,0.426,0.051,0.058,0.787,0.06,0.2,12,,
월포,1,36.2,129.386111111111,마을,2022,12,16,구름,43,15.68,15.39,0.289999999999999,34.12,8.16,7.59,0.53,0.013,0.079,0.005,0.097,0.206,0.011,0.019,0.272,1.03,0.4,13,,
월포,2,36.2,129.433333333333,마을,2022,12,16,구름,49,15.85,14.77,1.08,34.14,8.11,6.76,0.97,0.014,0.121,0.008,0.143,0.258,0.019,0.028,0.397,0.45,1.4,15,,
영일만,1,36.0405555555556,129.451111111111,마을,2022,12,16,구름,23,13.37,13.23,0.139999999999999,33.97,8.18,8.27,0.64,0.014,0.062,0.006,0.082,0.216,0.01,0.023,0.259,3.9,5.6,4,,
영일만,2,36.0655555555556,129.512777777778,마을,2022,12,16,구름,22,14,13.75,0.25,34.01,8.18,7.98,0.55,0.014,0.067,0.006,0.087,0.207,0.011,0.02,0.265,2.42,1,9,,
구룡포,1,36,129.586111111111,우렁쉥이,2022,12,16,구름,29,16,15.84,0.16,34.14,8.15,7.21,0.4,0.015,0.092,0.006,0.113,0.223,0.017,0.023,0.343,1.07,1.6,9,,
구룡포,2,36,129.636111111111,우렁쉥이,2022,12,16,구름,39,14,3.61,10.39,34.07,7.81,6.26,0.44,0.032,0.29,0.002,0.324,0.444,0.053,0.06,0.855,0.1,1.8,13,,
제주,1,33.5333333333333,126.533333333333,마을어장,2022,12,16,맑음,27,16.81,16.82,0.0100000000000016,33.85,8.12,7.54,0.38,0.013,0.21,0.007,0.23,0.244,0.034,0.042,0.709,0.91,3.2,12,,
제주,2,33.5166666666667,126.477777777778,마을어장,2022,12,16,맑음,18,16.87,17.05,0.18,33.92,8.11,7.43,0.31,0.011,0.214,0.007,0.231,0.282,0.029,0.039,0.614,0.57,2.2,8,,
제주,3,33.5166666666667,126.463888888889,마을어장,2022,12,16,맑음,18,16.26,17.11,0.849999999999998,33.84,8.14,7.53,0.33,0.015,0.234,0.006,0.256,0.277,0.035,0.041,0.742,0.69,1.8,8,,
제주,4,33.5083333333333,126.45,마을어장,2022,12,16,맑음,17,16.85,17.09,0.239999999999998,33.84,8.12,7.42,0.33,0.013,0.184,0.005,0.202,0.214,0.029,0.034,0.615,0.69,1.6,8,,
한림,2,33.4716666666667,126.307222222222,마을어장,2022,12,16,맑음,13,17.42,17.15,0.270000000000003,34.17,8.16,7.43,0.32,0.014,0.198,0.008,0.219,0.232,0.033,0.04,0.608,0.58,2.8,13,,
삼척,1,37.375,129.263888888889,마을,2022,12,15,맑음,34,15.83,15.88,0.0500000000000007,34.1,8.14,7.22,0.56,0.012,0.087,0.007,0.106,0.195,0.013,0.021,0.283,0.88,0.2,19,,
삼척,2,37.375,129.319444444444,마을,2022,12,15,맑음,104,16.45,2.97,13.48,34.04,7.87,4.98,0.42,0.012,0.288,0.001,0.301,0.394,0.045,0.053,0.69,0.05,1.6,20,,
임원,1,37.2222222222222,129.355555555556,마을,2022,12,15,맑음,38,15.59,15.58,0.0099999999999997,34.09,8.17,6.43,0.41,0.011,0.089,0.007,0.107,0.2,0.014,0.023,0.306,1.02,0.4,14,,
임원,2,37.2222222222222,129.4,마을,2022,12,15,맑음,57,15.34,15.28,0.0600000000000005,34.09,8.14,6.19,0.37,0.011,0.104,0.007,0.122,0.219,0.016,0.024,0.35,0.79,0.6,12,,
죽변,1,37.05,129.433333333333,마을,2022,12,15,맑음,23,15.02,14.7,0.32,34.04,8.14,5.84,0.49,0.011,0.092,0.007,0.11,0.219,0.014,0.023,0.313,0.99,0.2,11,,
죽변,3,37.05,129.483333333333,마을,2022,12,15,맑음,110,15.31,5.84,9.47,34.15,7.87,6.74,0.71,0.014,0.295,0,0.309,0.397,0.045,0.052,0.758,0.06,0.6,15,,
울진,1,36.975,129.427777777778,마을,2022,12,15,맑음,35,14.87,14.92,0.0500000000000007,34.06,8.15,5.81,0.54,0.019,0.099,0.008,0.126,0.22,0.014,0.022,0.315,1,0.2,9,,
울진,2,36.975,129.466666666667,마을,2022,12,15,맑음,110,15.92,4.75,11.17,34.11,7.84,6.55,0.65,0.007,0.294,0,0.301,0.397,0.047,0.053,0.74,0.05,0.8,13,,
한림,4,33.3333333333333,126.15,마을어장,2022,12,15,맑음,19,17.95,17.95,0,34.28,8.16,7.19,0.24,0.014,0.239,0.008,0.26,0.274,0.04,0.047,0.754,0.79,2.2,15,,
대정,2,33.2397222222222,126.192777777778,마을어장,2022,12,15,맑음,24,18,18.35,0.350000000000001,34.25,8.17,7.43,0.38,0.011,0.119,0.007,0.137,0.151,0.02,0.032,0.434,0.6,2.2,14,,
대정,4,33.2205555555556,126.336111111111,마을어장,2022,12,15,맑음,24,18.47,18.43,0.0399999999999992,34.26,8.18,7.27,0.25,0.013,0.149,0.006,0.168,0.189,0.026,0.029,0.545,0.67,2.4,16,,
서귀포,1,33.2166666666667,126.49,마을어장,2022,12,15,맑음,26,18.47,18.39,0.0799999999999983,34.21,8.17,7.25,0.35,0.013,0.13,0.005,0.149,0.162,0.022,0.034,0.496,0.7,2,19,,
서귀포,2,33.2383333333333,126.645,마을어장,2022,12,15,맑음,26,18.51,18.7,0.189999999999998,34.15,8.19,7.39,0.33,0.013,0.119,0.006,0.137,0.153,0.019,0.023,0.495,0.58,2.4,18,,
표선,2,33.2927777777778,126.8375,마을어장,2022,12,15,맑음,25,19.26,18.95,0.310000000000002,34.17,8.19,7.39,0.27,0.014,0.121,0.007,0.143,0.168,0.021,0.026,0.483,0.64,2.6,20,,
성산,1,33.4333333333333,126.943333333333,마을어장,2022,12,15,맑음,26,19.41,18.59,0.82,34.18,8.18,7.3,0.31,0.015,0.121,0.007,0.143,0.155,0.021,0.03,0.457,0.71,2.4,16,,
조천,2,33.5652777777778,126.809722222222,마을어장,2022,12,15,맑음,14,17.3,17.32,0.0199999999999996,34.03,8.14,7.54,0.22,0.016,0.204,0.009,0.229,0.239,0.033,0.039,0.685,0.66,2.6,12,,
조천,4,33.575,126.695,마을어장,2022,12,15,맑음,22,17.16,17.18,0.0199999999999996,33.93,8.13,7.44,0.25,0.015,0.219,0.008,0.242,0.257,0.036,0.038,0.739,0.9,1.4,12,,
천수만,1,36.6083333333333,126.368333333333,바지락,2022,12,12,맑음,14,9.2,9.22,0.0200000000000014,31.8,8.16,10.33,1.51,0.01,0.018,0.001,0.03,0.08,0.012,0.084,0.115,8.93,7.6,2,,
천수만,2,36.5947222222222,126.403333333333,굴,2022,12,12,맑음,15,9.54,9.54,0,31.88,8.1,10.3,1.67,0.012,0.011,0.001,0.023,0.077,0.007,0.088,0.061,8.6,8.6,1.7,,
천수만,3,36.55,126.386666666667,피조개,2022,12,12,맑음,16,9.4,9.54,0.139999999999999,31.84,8.13,9.95,1.07,0.013,0.026,0.002,0.041,0.104,0.011,0.088,0.107,6.1,9.6,2.9,,
천수만,4,36.5363888888889,126.458888888889,바지락,2022,12,12,맑음,15,9.14,9.54,0.399999999999999,31.88,8.1,9.46,0.87,0.018,0.036,0.003,0.057,0.121,0.012,0.086,0.132,3.17,7.4,1.7,,
천수만,5,36.4822222222222,126.47,바지락,2022,12,12,맑음,12,9.63,9.65,0.0199999999999996,31.89,8.09,9.39,1.43,0.017,0.066,0.005,0.088,0.127,0.016,0.085,0.221,2.39,10.2,1.8,,
천수만,6,36.4280555555556,126.497777777778,바지락,2022,12,12,맑음,18,9.79,9.79,0,31.91,8.08,9.32,1.43,0.015,0.073,0.005,0.093,0.131,0.017,0.084,0.231,1.79,13.4,2,,
천수만,7,36.4013888888889,126.482777777778,연안,2022,12,12,맑음,30,9.9,9.75,0.15,31.9,8.05,9.43,1.67,0.013,0.051,0.004,0.068,0.135,0.014,0.091,0.171,2.13,21.8,2.5,,
천수만,8,36.3933333333333,126.443333333333,전복,2022,12,12,맑음,22,9.66,9.65,0.0099999999999997,31.9,8.08,9.41,1.39,0.017,0.068,0.005,0.089,0.127,0.017,0.086,0.218,2.38,11,1.9,,
영광,1,35.3897222222222,126.3775,마을,2022,12,10,맑음,5,8.28,8.28,0,31.47,7.91,10.01,1.4,0.027,0.019,0.002,0.047,0.111,0.01,0.084,0.094,2.6,17.4,1.6,,
영광,2,35.3333333333333,126.3,연안,2022,12,10,맑음,6,9.53,9.52,0.0099999999999997,31.88,7.94,10.14,1.2,0.014,0.011,0.001,0.026,0.073,0.007,0.074,0.058,5.93,31,1.5,,
고창,1,35.5,126.391666666667,연안,2022,12,10,맑음,5,9.12,9.12,0,31.58,7.93,10.25,1.6,0.014,0.024,0.003,0.041,0.083,0.009,0.073,0.113,3.7,8.2,1.2,,
곰소만,1,35.555,126.43,진주담치,2022,12,10,맑음,4,9.1,9.11,0.0099999999999997,31.57,7.93,9.76,1.4,0.015,0.03,0.003,0.048,0.088,0.012,0.071,0.137,4.03,7.6,1.6,,
곰소만,4,35.5816666666667,126.551944444444,바지락,2022,12,10,맑음,9,8.11,8.42,0.310000000000001,31.45,7.9,9.82,1.17,0.05,0.057,0.004,0.111,0.151,0.016,0.09,0.21,2.47,11,1.7,,
군산,7,35.8366666666667,126.398333333333,바지락,2022,12,10,맑음,27,9.91,9.95,0.0399999999999992,31.64,7.85,9.53,0.69,0.018,0.071,0.006,0.096,0.137,0.015,0.078,0.196,2.24,15.4,2.1,,
군산,8,35.7666666666667,126.418333333333,김,2022,12,10,맑음,10,9.87,10.42,0.550000000000001,31.77,7.87,9.52,1.09,0.017,0.057,0.006,0.079,0.134,0.013,0.075,0.168,2.08,6.2,2.4,,
군산,9,35.6555555555556,126.447777777778,어류,2022,12,10,맑음,8,9.74,9.74,0,31.59,7.9,9.91,1.32,0.018,0.05,0.005,0.074,0.113,0.012,0.075,0.159,4.33,6,2.6,,
고성,2,38.2875,128.605555555556,가리비,2022,12,9,흐림,134,14.96,0.95,14.01,34.05,7.8,7.86,0.6,0.008,0.313,0,0.321,0.396,0.05,0.051,0.842,0.03,1.2,12,,
속초,1,38.2166666666667,128.608333333333,가리비,2022,12,9,흐림,24,13.98,13.95,0.0300000000000011,34.01,8.13,7.86,0.85,0.014,0.09,0.006,0.11,0.203,0.013,0.02,0.286,1.04,1.6,11,,
속초,3,38.2166666666667,128.65,가리비,2022,12,9,흐림,90,15.33,2,13.33,34.05,7.83,6.77,0.96,0.011,0.276,0.002,0.289,0.373,0.044,0.048,0.662,0.04,1,14,,
기장,1,35.3111111111111,129.277222222222,미역/다시마,2022,12,9,맑음,28,17.43,16.09,1.34,35.26,7.87,6.96,0.59,0.006,0.113,0.009,0.128,0.183,0.021,0.021,0.469,0.8,8.2,6,,
거제도남안,1,34.8388888888889,128.576388888889,굴,2022,12,9,흐림,7,11.9,11.54,0.360000000000001,33.63,8.08,8.17,1.67,0.021,0.05,0.004,0.075,0.239,0.019,0.036,0.564,2.74,8,4,,
거제도남안,2,34.8027777777778,128.556111111111,굴/우렁쉥이,2022,12,9,맑음,10,13.65,12.71,0.94,33.67,8.08,7.51,0.99,0.02,0.064,0.006,0.09,0.241,0.017,0.032,0.448,2.7,4.4,3,,
거제도남안,3,34.7641666666667,128.5725,굴,2022,12,9,맑음,11,15.81,14.69,1.12,33.9,8.13,6.95,1.07,0.011,0.059,0.007,0.077,0.231,0.013,0.026,0.317,0.98,3.4,2.5,,
거제도남안,6,34.7636111111111,128.538055555556,굴,2022,12,9,맑음,22,15.47,14.36,1.11,33.88,8.1,7,1.27,0.022,0.076,0.01,0.107,0.273,0.021,0.027,0.469,1.55,2.8,3.5,,
거제도남안,7,34.7830555555556,128.506111111111,굴/우렁쉥이,2022,12,9,맑음,7,14.14,13.87,0.270000000000001,33.78,8.11,7.25,1.39,0.024,0.076,0.01,0.11,0.273,0.023,0.029,0.507,2.21,3.8,3,,
거제도남안,8,34.8247222222222,128.565,굴,2022,12,9,흐림,8,13.11,12.93,0.18,33.7,8.08,7.59,1.03,0.044,0.086,0.007,0.138,0.284,0.027,0.033,0.644,2.05,2.8,3.5,,
군산,2,36.0883333333333,126.453333333333,김,2022,12,9,맑음,11,9.86,9.86,0,31.96,8.13,9.54,1.2,0.015,0.061,0.006,0.081,0.117,0.015,0.083,0.217,2.4,11,2.1,,
군산,4,36,126.5,김,2022,12,9,맑음,15,8.89,8.9,0.0099999999999997,31.12,8.13,10.06,1.68,0.028,0.086,0.004,0.118,0.167,0.014,0.102,0.209,3.77,26.2,2,,
