어장명,정점,정점2,위도,경도,어장종류,년도,월,일,기상,수심(m),수온(저),수온(차이),염분(저),Ph(저),DO(저),COD(저),NH4-N(저),NO3-N(저),NO2-N(저),DIN(저),TN(저),DIP(저),TP(저),SIO2-SI(저),CHL-A(저),SS(저),투명도
가로림만,4,7,36.9144444444444,126.365277777778,패류,2010,12,1,-,8.8,8.38,0.45,31.11,7.89,2.2,0.52,0.009,0.123,0.004,0.136,0.74,0.024,0.027,0.282,0.34,20.4,0.7
가로림만,4,7,36.9144444444444,126.365277777778,패류,2010,10,6,-,13,20.02,0.25,25.08,8.12,9.73,0.9,0.002,0.067,0.033,0.102,0.177,0.015,0.016,0.257,0.5,86.2,1.1
가로림만,4,7,36.9144444444444,126.365277777778,패류,2010,8,8,-,12,24.07,0.51,30.82,7.97,7.54,1.04,0.01,0.017,0.003,0.03,0.071,0.009,0.052,0.066,0.95,45,1.2
가로림만,4,7,36.9144444444444,126.365277777778,패류,2010,6,8,-,9.7,20.63,1.73,32.78,8.1,7.64,2.54,0.016,0.115,0.006,0.137,0.235,0.017,0.03,0.418,1.56,38.6,1
가로림만,4,7,36.9144444444444,126.365277777778,패류,2010,4,3,-,4.1,6.41,0.52,32.77,7.99,12.99,1.82,0.016,0.099,0.002,0.117,0.284,0.014,0.044,0.279,1.85,30.2,0.8
가로림만,4,7,36.9144444444444,126.365277777778,패류,2010,2,4,-,7.3,1.43,0.03,32.48,8.09,11.41,2.88,0.004,0.108,0.002,0.114,0.412,0.016,0.044,0.468,1.36,22.6,0.5
가로림만,3,6,36.8986111111111,126.348055555556,패류,2010,12,1,-,8,7.66,0,30.73,8.37,9.55,0.5,0.011,0.113,0.005,0.129,0.724,0.024,0.025,0.278,0.21,32.6,1
가로림만,3,6,36.8986111111111,126.348055555556,패류,2010,10,6,-,9,19.58,0.09,29.95,8.14,7.65,0.81,0.001,0.088,0.038,0.127,0.135,0.019,0.03,0.348,0.93,14.2,1.4
가로림만,3,6,36.8986111111111,126.348055555556,패류,2010,8,8,-,6.5,24.81,0.15,31.18,7.87,6.79,0.61,0.015,0.066,0.008,0.089,0.113,0.019,0.051,0.295,1.62,60.4,1
가로림만,3,6,36.8986111111111,126.348055555556,패류,2010,6,8,-,7.2,16.56,1.43,31.87,8.16,6.08,2.47,0.016,0.11,0.004,0.13,0.157,0.01,0.022,0.104,1.69,16.4,1.2
가로림만,3,6,36.8986111111111,126.348055555556,패류,2010,4,3,-,8.6,6.18,0.03,31.74,8.09,10.66,1.48,0.01,0.1,0.002,0.112,0.269,0.012,0.066,0.209,2.19,34.6,1.1
가로림만,3,6,36.8986111111111,126.348055555556,패류,2010,2,4,-,7,2.46,0.05,32.01,8.08,10.86,0.99,0.005,0.111,0.001,0.117,0.227,0.02,0.053,0.413,1.81,26.8,0.9
가로림만,6,8,36.9311111111111,126.344722222222,패류,2010,12,1,-,8.2,7.29,0,31.01,7.99,1.2,0.32,0.011,0.132,0.005,0.148,0.562,0.023,0.024,0.333,0.29,16,0.8
가로림만,6,8,36.9311111111111,126.344722222222,패류,2010,10,6,-,12,20.78,0.01,30.5,8.29,8.78,0.88,0.001,0.055,0.028,0.084,0.102,0.012,0.022,0.16,0.69,12,1.4
가로림만,6,8,36.9311111111111,126.344722222222,패류,2010,8,8,-,12,22.23,1.08,30.95,8.14,8.01,1.04,0.015,0.007,0.003,0.025,0.031,0.006,0.074,0.036,1.27,31.6,1.2
가로림만,6,8,36.9311111111111,126.344722222222,패류,2010,6,8,-,8.3,17.53,3.23,32.64,8.14,8.65,2.09,0.054,0.11,0.004,0.168,0.214,0.004,0.026,0.179,1.88,22,0.8
가로림만,6,8,36.9311111111111,126.344722222222,패류,2010,4,3,-,7.3,6.11,0.37,32.76,8.03,12.31,1.44,0.014,0.13,0.002,0.146,0.273,0.016,0.04,0.311,1.89,40.8,0.9
가로림만,6,8,36.9311111111111,126.344722222222,패류,2010,2,4,-,6.9,1.94,0.06,32.52,8.06,10.95,1.41,0.017,0.146,0.003,0.166,0.281,0.02,0.057,0.495,1.43,81,0.5
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2021,12,11,맑음,15,10.78,0.02,31.33,8.08,9.42,0.34,0.012,0.141,0.005,0.157,0.195,0.027,0.033,0.423,0.7,9.4,1.4
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2021,10,13,맑음,12,21.21,0.03,31.12,8.06,7.12,0.98,0.024,0.088,0.05,0.162,0.181,0.032,0.035,0.483,1.41,17.6,1.2
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2021,8,2,비,18,22.74,0.23,31.35,8.06,7.53,0.82,0.023,0.011,0.001,0.034,0.086,0.007,0.031,0.119,1.43,5.6,3.3
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2021,6,9,맑음,21,17.54,0.69,30.95,8,8.3,1.02,0.044,0.119,0.007,0.17,0.245,0.014,0.03,0.17,2.41,26,0.5
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2021,4,1,맑음,13,7.87,0.76,31.3,8.08,10.3,0.99,0.005,0.089,0.002,0.096,0.144,0.013,0.024,0.187,3.57,23,1.2
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2021,2,24,맑음,15,3.93,0.22,31.23,8.2,11.59,0.56,0.008,0.125,0.002,0.135,0.31,0.019,0.028,0.282,6.4,17,1.5
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2020,12,28,맑음,8,5.25,0.01,29.51,8.12,11.1,0.53,0.013,0.087,0.003,0.103,0.156,0.022,0.032,0.317,0.89,11.2,0.4
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2020,10,9,맑음,13,19.24,0.11,30.51,8.14,7.72,1.22,0.032,0.021,0.005,0.058,0.106,0.015,0.027,0.158,1.71,10.6,3.9
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2020,8,7,흐림/비,15,21.67,0.47,29.95,7.99,7.07,0.69,0.056,0.119,0.019,0.194,0.243,0.024,0.042,0.335,1.25,24,1.2
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2020,6,10,맑음,18,14.51,0.85,31.68,8.09,9.17,0.91,0.013,0.084,0.005,0.102,0.152,0.012,0.023,0.031,2.66,76.33,2.6
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2020,4,9,맑음,10,8.82,0.04,31.64,8,9.81,1.02,0.01,0.123,0.003,0.136,0.165,0.018,0.052,0.237,3.8,32.6,0.7
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2020,2,7,맑음,15,4.08,0.29,31.83,8.11,11.19,1.26,0.007,0.074,0.002,0.083,0.117,0.017,0.028,0.277,2.85,7.4,2.1
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2019,12,30,흐림,16,8.71,0.09,31.84,8.01,10.2,1.69,0.01,0.135,0.003,0.147,0.176,0.025,0.042,0.387,0.89,24,1.5
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2019,10,10,흐림,18,20.22,0.09,31.27,8.09,7.23,1.52,0.02,0.099,0.054,0.174,0.21,0.029,0.042,0.47,1.21,12.2,1.5
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2019,8,6,맑음,16,24.53,0.18,31.39,7.89,7.5,2.02,0.034,0.048,0.006,0.088,0.138,0.017,0.041,0.334,3.93,22.2,1.9
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2019,6,12,맑음,14,14.78,0.7,31.62,8.1,9.63,1.39,0.017,0.061,0.004,0.081,0.301,0.011,0.035,0.021,3.47,17.4,2.5
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2019,4,8,맑음,15,8.55,0.39,31.79,8.04,10.3,1.68,0.01,0.087,0.002,0.1,0.278,0.014,0.033,0.227,2.11,12,1.2
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2019,2,14,맑음,15,3.37,0.27,31.68,8.07,10.73,1.06,0.013,0.184,0.002,0.199,0.342,0.025,0.044,0.391,1.25,13,1.5
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2016,4,7,맑음,9,8.86,0.2,32.18,8.08,10.63,2.7,0.007,0.074,0.003,0.084,0.272,0.014,0.036,0.265,2.73,31.6,0.7
가로림만,3,5,36.8844444444444,126.341666666667,바지락,2016,2,21,맑음,20,4.1,0.09,32.07,8.06,11.22,1.79,0.014,0.167,0.002,0.183,0.302,0.024,0.044,0.489,0.55,38.2,0.7
가로림만,5,4,36.8841666666667,126.341666666667,패류,2010,12,1,-,15,8.06,0.14,30.78,8.37,9.47,1.51,0.01,0.118,0.006,0.134,0.744,0.026,0.029,0.286,0.18,75.4,0.8
가로림만,5,4,36.8841666666667,126.341666666667,패류,2010,10,6,-,16,19.66,0.04,30.03,8.13,7.56,0.67,0.001,0.074,0.037,0.112,0.117,0.017,0.03,0.31,0.32,10,1.3
가로림만,5,4,36.8841666666667,126.341666666667,패류,2010,8,8,-,15,24.27,0.33,31.25,7.88,6.97,0.84,0.008,0.064,0.009,0.081,0.129,0.017,0.046,0.279,1.97,24.8,2
가로림만,5,4,36.8841666666667,126.341666666667,패류,2010,6,8,-,19,14.99,1.68,31.81,8.18,7.41,2.05,0.017,0.106,0.005,0.128,0.144,0.008,0.023,0.098,2.71,17.4,2.1
가로림만,5,4,36.8841666666667,126.341666666667,패류,2010,4,3,-,19,5.86,0.03,31.79,8.05,10.5,1.74,0.01,0.111,0.002,0.123,0.258,0.015,0.055,0.265,1.77,39.6,0.7
가로림만,5,4,36.8841666666667,126.341666666667,패류,2010,2,4,-,16,3.65,0.02,32.04,8.02,10.3,1.37,0.003,0.183,0.001,0.187,0.328,0.024,0.061,0.547,1.51,52.2,0.6
가로림만,2,3,36.8805555555556,126.335277777778,패류,2010,12,1,-,16,7.56,0.01,30.68,8.37,9.62,0.28,0.011,0.109,0.006,0.126,0.64,0.022,0.026,0.282,0.2,8.6,0.8
가로림만,2,3,36.8805555555556,126.335277777778,패류,2010,10,6,-,18,19.45,0.09,29.83,8.12,7.63,0.86,0.001,0.094,0.038,0.133,0.136,0.018,0.039,0.366,0.36,27.4,1.3
가로림만,2,3,36.8805555555556,126.335277777778,패류,2010,8,8,-,17,25.56,0.31,31.17,7.86,6.77,0.92,0.011,0.071,0.009,0.091,0.108,0.02,0.064,0.321,1.39,13.8,1.6
가로림만,2,3,36.8805555555556,126.335277777778,패류,2010,6,8,-,19,17.07,2.6,31.63,8.12,5.66,2.37,0.028,0.128,0.005,0.161,0.196,0.013,0.022,0.192,1.2,16,1.2
가로림만,2,3,36.8805555555556,126.335277777778,패류,2010,4,3,-,18,6.47,0.02,31.62,8.13,10.71,1.68,0.013,0.055,0.004,0.072,0.236,0.007,0.063,0.13,3.32,37.2,1.2
가로림만,2,3,36.8805555555556,126.335277777778,패류,2010,2,4,-,19.6,2.31,0.05,31.99,8.11,10.99,1.13,0.006,0.095,0.001,0.102,0.194,0.012,0.056,0.363,1.36,37.2,1.1
가로림만,9,12,36.9677777777778,126.331111111111,패류,2010,12,1,-,18,10.07,0.04,30.83,8.31,9.06,0.48,0.007,0.127,0.004,0.138,0.636,0.022,0.023,0.255,0.52,24.6,1.2
가로림만,9,12,36.9677777777778,126.331111111111,패류,2010,10,6,-,26,20.67,0.05,31.01,8.28,8.57,1.21,0.002,0.051,0.026,0.079,0.092,0.013,0.029,0.151,1.07,23.4,1.4
가로림만,9,12,36.9677777777778,126.331111111111,패류,2010,8,8,-,26,21.57,0,31.67,7.94,8.5,0.72,0.014,0.001,0.002,0.017,0.04,0.003,0.071,0.011,1.56,21.4,4.3
가로림만,9,12,36.9677777777778,126.331111111111,패류,2010,6,8,-,32,13.47,3.04,32.63,8.22,10.22,2.15,0.018,0.097,0.002,0.117,0.177,0.003,0.021,0.045,2.89,13.4,1.4
가로림만,9,12,36.9677777777778,126.331111111111,패류,2010,4,3,-,30.5,5.3,0.4,32.8,7.99,12.04,1.98,0.007,0.191,0.003,0.201,0.318,0.017,0.053,0.372,1.16,27.6,1
가로림만,9,12,36.9677777777778,126.331111111111,패류,2010,2,4,-,14.2,3.22,0.1,32.52,8.02,10.21,1.21,0.009,0.165,0.003,0.177,0.292,0.025,0.053,0.531,1.35,18,1
가로림만,2,11,36.9494444444444,126.324722222222,미역,2021,12,11,맑음,15,11.45,0.02,31.42,8.08,9.69,0.3,0.015,0.118,0.004,0.137,0.191,0.024,0.031,0.353,0.8,14.2,1.1
가로림만,2,11,36.9494444444444,126.324722222222,미역,2021,10,13,맑음,14,21.42,0.06,31.23,8.07,7.32,0.78,0.014,0.067,0.044,0.125,0.164,0.025,0.031,0.349,1.3,20.2,1.4
가로림만,2,11,36.9494444444444,126.324722222222,미역,2021,8,2,비,17,21.84,0.01,31.34,8.05,8.11,1.22,0.032,0.011,0.001,0.044,0.085,0.005,0.028,0.055,1.54,7.8,3.7
가로림만,2,11,36.9494444444444,126.324722222222,미역,2021,6,9,맑음,14,16.89,0.03,31.03,8.03,8.14,1.06,0.034,0.106,0.006,0.145,0.226,0.013,0.027,0.127,2.73,25.6,0.7
가로림만,2,11,36.9494444444444,126.324722222222,미역,2021,4,1,맑음,16,7.54,0.27,31.66,8.08,10.14,0.91,0.005,0.122,0.002,0.128,0.158,0.016,0.022,0.237,2.83,25.2,0.9
가로림만,2,11,36.9494444444444,126.324722222222,미역,2021,2,24,맑음,15,3.92,0,31.18,8.17,11.74,1.78,0.008,0.141,0.002,0.151,0.349,0.02,0.038,0.292,4.8,29.2,0.3
가로림만,2,11,36.9494444444444,126.324722222222,미역,2020,12,28,맑음,14,6.12,0.22,31.19,8.19,10.07,0.45,0.01,0.133,0.004,0.146,0.169,0.025,0.035,0.354,1.21,7.6,4.5
가로림만,2,11,36.9494444444444,126.324722222222,미역,2020,10,9,맑음,21,19.9,0.07,30.65,8.17,7.31,1.41,0.023,0.014,0.005,0.042,0.096,0.01,0.021,0.091,2.03,8,3
가로림만,2,11,36.9494444444444,126.324722222222,미역,2020,8,7,흐림/비,16,20.61,0.64,30.97,8.02,7.21,0.89,0.028,0.048,0.019,0.095,0.14,0.014,0.028,0.159,1.42,17.8,1.5
가로림만,2,11,36.9494444444444,126.324722222222,미역,2020,6,10,맑음,16,14.36,0.13,31.67,8.11,9.15,0.95,0.01,0.061,0.003,0.075,0.147,0.009,0.025,0.018,2.94,90,2.6
가로림만,2,11,36.9494444444444,126.324722222222,미역,2020,4,9,맑음,12,8.07,0,31.69,7.97,9.86,1.26,0.01,0.174,0.003,0.187,0.187,0.023,0.06,0.276,3.31,50.4,0.6
가로림만,2,11,36.9494444444444,126.324722222222,미역,2020,2,7,맑음,4,4.47,0.13,31.85,8.06,10.97,0.94,0.006,0.103,0.002,0.111,0.142,0.02,0.03,0.304,2.36,11,2.2
가로림만,2,11,36.9494444444444,126.324722222222,미역,2019,12,30,흐림,14,9.5,0.32,31.85,8.01,9.31,1.65,0.006,0.127,0.001,0.135,0.137,0.025,0.047,0.395,1,32.4,0.3
가로림만,2,11,36.9494444444444,126.324722222222,미역,2019,10,10,흐림,14,20.2,0.2,31.34,8.09,7.43,1.4,0.018,0.086,0.046,0.15,0.186,0.026,0.037,0.399,1.67,11.6,2.1
가로림만,2,11,36.9494444444444,126.324722222222,미역,2019,8,6,맑음,14,23.43,0.35,31.48,7.93,7.57,1.66,0.025,0.029,0.004,0.058,0.121,0.013,0.032,0.245,4.13,29.4,2.7
가로림만,2,11,36.9494444444444,126.324722222222,미역,2019,6,12,맑음,13,14.24,0.38,31.63,8.11,9.65,0.99,0.012,0.061,0.004,0.076,0.246,0.01,0.033,0.01,2.88,10.6,2.8
가로림만,2,11,36.9494444444444,126.324722222222,미역,2019,4,8,맑음,15,7.86,0.24,31.75,8.02,10.15,1.72,0.011,0.115,0.003,0.129,0.296,0.016,0.036,0.226,2.15,16,1.2
가로림만,2,11,36.9494444444444,126.324722222222,미역,2019,2,14,맑음,16,4.02,0,31.65,8.05,10.53,1.1,0.013,0.207,0.001,0.221,0.366,0.028,0.051,0.427,0.96,24.4,2
가로림만,2,11,36.9494444444444,126.324722222222,미역,2016,4,7,맑음,11,8.95,0.03,32.16,8.08,10.81,2.15,0.009,0.078,0.003,0.09,0.287,0.014,0.037,0.294,1.61,38,0.5
가로림만,2,11,36.9494444444444,126.324722222222,미역,2016,2,21,맑음,16,4.11,0.03,32.14,8.01,11.46,2.07,0.014,0.208,0.002,0.224,0.361,0.028,0.053,0.534,0.1,41,0.4
가로림만,8,10,36.9491666666667,126.324444444444,패류,2010,12,1,-,12,8.9,0.05,30.82,8.37,9.35,0.32,0.006,0.126,0.005,0.137,0.643,0.022,0.027,0.268,0.27,27,0.9
가로림만,8,10,36.9491666666667,126.324444444444,패류,2010,10,6,-,14.5,20.16,0.05,30.34,8.15,7.5,1.13,0.002,0.061,0.033,0.096,0.116,0.014,0.017,0.226,1.08,12.6,1.3
